x,y,z
12.073342,54.057247,47.5
12.071684,54.100356,21.4
12.073997,54.099148,22.0
12.073683,54.099768,24.5
12.067652,54.100045,19.3
12.074332,54.103183,18.2
12.074438,54.103456,17.7
12.074260,54.103378,17.9
12.074250,54.103848,17.0
12.074408,54.103936,16.8
12.074331,54.104096,16.7
12.074204,54.103486,17.7
12.074167,54.103564,17.6
12.074090,54.103622,17.6
12.074288,54.104264,16.5
12.074125,54.104426,16.5
12.074080,54.106384,12.5
12.074217,54.103313,17.8
12.073852,54.103511,18.1
12.073857,54.104012,17.1
12.073638,54.103928,17.3
12.073865,54.104496,16.9
12.073909,54.106215,12.5
12.073613,54.103504,18.7
12.073476,54.103503,18.7
12.073495,54.103650,17.5
12.073354,54.103538,18.8
12.073267,54.103670,18.9
12.073307,54.103734,18.0
12.073314,54.104651,17.1
12.073630,54.104704,16.9
12.073118,54.098524,22.3
12.073105,54.098653,22.2
12.073092,54.098782,22.0
12.073040,54.098339,22.4
12.073254,54.103549,18.9
12.073084,54.103607,18.9
12.073128,54.103739,18.4
12.073025,54.103883,17.8
12.073830,54.105002,16.1
12.073233,54.105317,15.3
12.073142,54.105246,15.6
12.072999,54.098648,22.2
12.072649,54.099957,21.4
12.072983,54.103548,18.8
12.072471,54.098303,22.6
12.072820,54.098330,22.2
12.072828,54.098883,22.0
12.072555,54.103649,19.0
12.072380,54.103691,19.0
12.072929,54.104029,17.6
12.072509,54.103897,18.2
12.072324,54.103806,18.7
12.072395,54.100905,20.6
12.072235,54.103725,19.1
12.072077,54.103873,18.4
12.072104,54.103785,18.9
12.072179,54.104028,18.3
12.072122,54.098869,22.2
12.072147,54.099764,22.4
12.072377,54.100150,21.8
12.072388,54.100527,20.7
12.073052,54.104903,16.6
12.071593,54.099386,21.7
12.071413,54.101579,19.9
12.071286,54.098577,22.8
12.071199,54.099159,21.9
12.071135,54.099508,21.8
12.071500,54.101151,20.5
12.071230,54.102082,19.0
12.071047,54.099873,21.5
12.070497,54.100027,20.8
12.070852,54.100935,20.2
12.070790,54.101274,19.9
12.070628,54.102037,18.9
12.070561,54.102791,18.5
12.070070,54.099983,20.6
12.070375,54.099465,21.9
12.070248,54.099826,21.1
12.070296,54.100593,19.9
12.070008,54.101978,18.9
12.070299,54.102634,18.7
12.070010,54.102673,18.8
12.069497,54.099741,20.8
12.069736,54.099947,20.5
12.069540,54.101363,19.2
12.070097,54.101519,19.2
12.070105,54.099042,22.2
12.069649,54.099383,21.8
12.069305,54.099893,20.3
12.069681,54.101042,19.3
12.069413,54.101913,18.5
12.069080,54.100882,19.4
12.068943,54.101287,19.2
12.068840,54.101842,18.4
12.068682,54.099734,20.5
12.068697,54.100401,19.6
12.068324,54.101291,18.7
12.068249,54.101728,18.6
12.067795,54.101104,18.6
12.067593,54.100185,19.1
12.067172,54.100316,18.4
12.067946,54.100704,19.1
12.066767,54.100252,18.2
12.067249,54.100686,18.1
12.066661,54.100988,17.2
12.066328,54.100823,16.9
12.066485,54.100391,17.4
12.066604,54.100602,16.9
12.066339,54.100724,16.8
12.066171,54.101785,17.7
12.065777,54.101722,16.9
12.065695,54.100590,17.5
12.061449,54.101643,13.6
12.074481,54.109761,9.3
12.074211,54.109917,9.5
12.088284,54.053044,46.2
12.088084,54.052944,46.1
12.087990,54.052990,46.2
12.087977,54.053149,46.3
12.075038,54.057776,47.9
12.080713,54.061131,46.7
12.080659,54.061270,46.4
12.076744,54.057696,46.7
12.076416,54.058404,45.5
12.076181,54.057919,47.0
12.076167,54.057572,48.3
12.075702,54.057564,48.7
12.075264,54.057761,48.5
12.075129,54.057908,47.6
12.076436,54.057547,47.5
12.076481,54.057978,46.5
12.074998,54.057472,47.5
12.074971,54.057405,47.1
12.074822,54.057072,45.5
12.076493,54.057667,47.6
12.076452,54.058056,46.2
12.076402,54.058277,45.5
12.075856,54.057679,48.6
12.075099,54.057517,48.0
12.075083,54.057350,47.0
12.074724,54.057062,45.5
12.074469,54.057686,47.7
12.088501,54.064494,44.9
12.088844,54.064650,44.8
12.088104,54.064652,44.9
12.079906,54.064543,45.5
12.078518,54.065691,44.0
12.076991,54.062300,45.3
12.076965,54.062629,45.2
12.076724,54.062744,44.6
12.076481,54.062658,45.0
12.076468,54.062484,45.2
12.088996,54.064832,44.4
12.088748,54.064868,44.8
12.088429,54.065028,44.4
12.088032,54.064811,44.7
12.087974,54.064242,43.9
12.087727,54.064475,44.1
12.089397,54.087165,24.7
12.089553,54.086875,25.1
12.089630,54.088975,22.0
12.088729,54.086731,26.1
12.088666,54.087433,25.1
12.088602,54.088135,24.3
12.089832,54.094225,20.1
12.089809,54.091462,20.7
12.089479,54.092027,20.7
12.089283,54.092196,20.9
12.089451,54.092309,20.8
12.089472,54.093791,20.9
12.089794,54.094835,19.3
12.089231,54.092246,20.9
12.089238,54.092146,20.9
12.089186,54.092195,21.0
12.089134,54.092245,21.0
12.089206,54.092270,20.9
12.089180,54.092295,21.0
12.089153,54.092320,21.0
12.089362,54.092622,20.9
12.089494,54.090523,20.4
12.089057,54.092047,21.0
12.088986,54.092021,21.1
12.089006,54.092096,21.1
12.089083,54.092294,20.5
12.089231,54.092454,21.0
12.089183,54.092500,21.0
12.089159,54.092523,21.0
12.089135,54.092546,21.0
12.089111,54.092569,21.1
12.089088,54.092592,21.1
12.089039,54.092638,21.0
12.089016,54.092661,21.1
12.089378,54.094033,20.6
